Questions,Answers,b,c,v,id,Text
"Which apostle who was described as ""full of grace and power and doing great wonders and signs among the people"" was stoned to death?",Stephen,44,7,59,44007059,"And as they were stoning Stephen, he called out, ""Lord Jesus, receive my spirit."""
Who deceived Jacob by giving Leah as a wife instead of Rachel?,Laban,1,29,25,1029025,"And in the morning, behold, it was Leah! And Jacob said to Laban, ""What is this you have done to me? Did I not serve with you for Rachel? Why then have you deceived me?"""
What did Jesus send disciples to fetch on his triumphal entry into Jerusalem?,Donkey and colt,40,21,2,40021002,"saying to them, ""Go into the village in front of you, and immediately you will find a donkey tied, and a colt with her. Untie them and bring them to me."
What does James say we should say when we make our future plans?,If the Lord will I will do this or that,59,4,15,59004015,"Instead you ought to say, ""If the Lord wills, we will live and do this or that."""
What type of coin did Judas accept as payment for betraying Jesus?,Silver,40,26,15,40026015,"and said, ""What will you give me if I deliver him over to you?"" And they paid him thirty pieces of silver."
For how many pieces of silver did Judas betray Christ?,Thirty,40,26,15,40026015,"and said, ""What will you give me if I deliver him over to you?"" And they paid him thirty pieces of silver."
What was the writer of the letter asking of Philemon?,To receive his slave back as a brother in Christ,57,1,17,57001017,"So if you consider me your partner, receive him as you would receive me."
What was the covenant between God and Noah? ,Never to fiood the earth again,1,9,11,1009011,"I establish my covenant with you, that never again shall all flesh be cut off by the waters of the flood, and never again shall there be a flood to destroy the earth."""
To what object does James compare the tongue?,The rudder on a ship,59,3,4,59003004,"Look at the ships also:though they are so large and are driven by strong winds, they are guided by a very small rudder wherever the will of the pilot directs."
What does Paul say about women's long hair?,It is a glory to her,46,11,15,46011015,"but if a woman has long hair, it is her glory? For her hair is given to her for a covering."
What did Naomi tell the people in Bethlehem to call her?,Mara,8,1,20,8001020,"She said to them, ""Do not call me Naomi; call me Mara, for the Almighty has dealt very bitterly with me."
"When Jesus told his disciples to beware of the ""leaven of the Pharisees and Sadducees"" to what was he referring?",The doctrines of the Pharisees and Sadducees,40,16,12,40016012,"Then they understood that he did not tell them to beware of the leaven of bread, but of the teaching of the Pharisees and Sadducees."
How was Daniel protected from the lions in the den?,An angel shut their mouths,27,6,22,27006022,"My God sent his angel and shut the lions' mouths, and they have not harmed me, because I was found blameless before him; and also before you, O king, I have done no harm."""
"""Everyone that is proud in heart"" is what to the Lord?",An abomination,20,16,5,20016005,"Everyone who is arrogant in heart is an abomination to the LORD; be assured, he will not go unpunished."
What did John the Baptist say when he saw Jesus?,Behold the Lamb of God!,43,1,29,43001029,"The next day he saw Jesus coming toward him, and said, ""Behold, the Lamb of God, who takes away the sin of the world!"
How did the city that Jonah was sent to react to God's message of destruction?,They repented,32,3,8,32003008,"but let man and beast be covered with sackcloth, and let them call out mightily to God. Let everyone turn from his evil way and from the violence that is in his hands."
Who asked Jesus to remember him when he came into his kingdom?,The criminal on the cross,42,23,42,42023042,"And he said, ""Jesus, remember me when you come into your kingdom."""
Of what specifically was man not allowed to eat in the Garden of Eden?,Tree of knowledge of good and evil,1,2,17,1002017,"but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die."""
What was Solomon famous for building?,Temple,11,7,51,11007051,"Thus all the work that King Solomon did on the house of the LORD was finished. And Solomon brought in the things that David his father had dedicated, the silver, the gold, and the vessels, and stored them in the treasuries of the house of the LORD."
"Jesus asked: ""Can the blind lead the....?""",Blind,42,6,39,42006039,"He also told them a parable:""Can a blind man lead a blind man? Will they not both fall into a pit?"
What is Paul's command to husbands in his letter to the Colossians?,Love your wives and do not be bitter towards them,51,3,19,51003019,"Husbands, love your wives, and do not be harsh with them."
Which river was Naaman told to wash in to rid himself of leprosy?,Jordan,12,5,10,12005010,"And Elisha sent a messenger to him, saying, ""Go and wash in the Jordan seven times, and your flesh shall be restored, and you shall be clean."""
Which prophet of God told Naaman to wash in the river Jordan to cure his leprosy?,Elisha,12,5,10,12005010,"And Elisha sent a messenger to him, saying, ""Go and wash in the Jordan seven times, and your flesh shall be restored, and you shall be clean."""
"What miracle had Jesus performed when he said ""It is I; be not afraid""?",Walking on water ,43,6,19,43006019,"When they had rowed about three or four miles, they saw Jesus walking on the sea and coming near the boat, and they were frightened."
Why did Solomon turn away from God when he was old?,His foreign wives turned his heart after other gods,11,11,4,11011004,"For when Solomon was old his wives turned away his heart after other gods, and his heart was not wholly true to the LORD his God, as was the heart of David his father."
In what city was Jesus brought up as a child?,Nazareth,40,2,23,40002023,"And he went and lived in a city called Nazareth, that what was spoken by the prophets might be fulfilled:""He shall be called a Nazarene."""
"Which female judge described herself as ""a mother in Israel""?",Deborah,7,5,7,7005007,"The villagers ceased in Israel; they ceased to be until I arose; I, Deborah, arose as a mother in Israel."
"According to Peter what ""covers a multitude of sins""?",Love,60,4,8,60004008,"Above all, keep loving one another earnestly, since love covers a multitude of sins."
In prison for whom did Joseph interpret dreams?,The butler and the baker,1,40,5,1040005,"And one night they both dreamed--the cupbearer and the baker of the king of Egypt, who were confined in the prison--each his own dream, and each dream with its own interpretation."
To what preservative does the Lord compare his disciples?,Salt,40,5,13,40005013,"""You are the salt of the earth, but if salt has lost its taste, how shall its saltiness be restored? It is no longer good for anything except to be thrown out and trampled under people's feet."
What was Jesus' first miracle?,Changing water into wine,43,2,11,43002011,"This, the first of his signs, Jesus did at Cana in Galilee, and manifested his glory. And his disciples believed in him."
Who spotted Moses in the Nile placed in an ark of bulrushes?,Pharaoh's daughter,2,2,5,2002005,"Now the daughter of Pharaoh came down to bathe at the river, while her young women walked beside the river. She saw the basket among the reeds and sent her servant woman, and she took it."
Who was Bathsheba's first husband?,Uriah,10,11,3,10011003,"And David sent and inquired about the woman. And one said, ""Is not this Bathsheba, the daughter of Eliam, the wife of Uriah the Hittite?"""
Why were Daniel's three friends thrown into the fiery furnace?,They wouldn't bow down to Nebuchadnezzar's golden image,27,3,11,27003011,And whoever does not fall down and worship shall be cast into a burning fiery furnace.
Out of the ten lepers who Jesus healed how many came back to say thank you?,One,42,17,15,42017015,"Then one of them, when he saw that he was healed, turned back, praising God with a loud voice;"
What did Jesus say the sellers had turned his house of prayer into?,A den of thieves,42,19,46,42019046,"saying to them, ""It is written, 'My house shall be a house of prayer,' but you have made it a den of robbers."""
In the New Jerusalem where are the names of the twelve tribes written?,On the twelve gates,66,21,12,66021012,"It had a great, high wall, with twelve gates, and at the gates twelve angels, and on the gates the names of the twelve tribes of the sons of Israel were inscribed--"
How often was the year of the Lord's release?,Every seven years,5,15,1,5015001,"""At the end of every seven years you shall grant a release."
Which tribe of Israel looked after the religious aspects of life?,Levi,4,18,23,4018023,"But the Levites shall do the service of the tent of meeting, and they shall bear their iniquity. It shall be a perpetual statute throughout your generations, and among the people of Israel they shall have no inheritance."
Where was Paul when he wrote the letter to Philemon?,In prison,57,1,23,57001023,"Epaphras, my fellow prisoner in Christ Jesus, sends greetings to you,"
Which city was the letter to Philemon written from?,Rome,57,1,23,57001023,"Epaphras, my fellow prisoner in Christ Jesus, sends greetings to you,"
"Who preached ""Repent ye: for the kingdom of heaven is at hand""?",John the Baptist,40,3,1,40003001,"In those days John the Baptist came preaching in the wilderness of Judea,"
What was the name of James' and John's father?,Zebedee,41,10,35,41010035,"And James and John, the sons of Zebedee, came up to him and said to him, ""Teacher, we want you to do for us whatever we ask of you."""
What bird did God provide to the Israelites for meat in the wilderness?,Quail,2,16,13,2016013,"In the evening quail came up and covered the camp, and in the morning dew lay around the camp."
Who closed the door of Noah's ark?,God,1,7,16,1007016,"And those that entered, male and female of all flesh, went in as God had commanded him. And the LORD shut him in."
"""Hate stirs up strife"" but what does love cover?",All sins,20,10,12,20010012,"Hatred stirs up strife, but love covers all offenses."
"Who wrote the line: ""The Lord is my Shepherd I shall not want""?",David,19,23,1,19023001,The LORD is my shepherd; I shall not want.
What was the name of Joseph's youngest brother?,Benjamin,1,44,12,1044012,"And he searched, beginning with the eldest and ending with the youngest. And the cup was found in Benjamin's sack."
Who did Jesus pray for that his faith failed not?,(Simon) Peter,42,22,32,42022032,"but I have prayed for you that your faith may not fail. And when you have turned again, strengthen your brothers."""
What was the new name given to Daniel while in captivity?,Belteshazzar,27,1,7,27001007,"And the chief of the eunuchs gave them names:Daniel he called Belteshazzar, Hananiah he called Shadrach, Mishael he called Meshach, and Azariah he called Abednego."
Which wise man wrote the majority of Proverbs?,Solomon,20,1,1,20001001,"The proverbs of Solomon, son of David, king of Israel:"
Which king asked for the foreskins of 100 Philistines?,Saul,9,18,25,9018025,"Then Saul said, ""Thus shall you say to David, 'The king desires no bride-price except a hundred foreskins of the Philistines, that he may be avenged of the king's enemies.'"" Now Saul thought to make David fall by the hand of the Philistines."
Who rolled away the tomb stone?,An Angel,40,28,2,40028002,"And behold, there was a great earthquake, for an angel of the Lord descended from heaven and came and rolled back the stone and sat on it."
What did Samson find in the carcass of the animal he had killed at a later time?,Bees and honey,7,14,8,7014008,"After some days he returned to take her. And he turned aside to see the carcass of the lion, and behold, there was a swarm of bees in the body of the lion, and honey."
"What is ""friendship with the world"" according to James?",Enmity with God,59,4,4,59004004,You adulterous people! Do you not know that friendship with the world is enmity with God? Therefore whoever wishes to be a friend of the world makes himself an enemy of God.
"Who said ""glory to God in the highest and on earth peace goodwill to men""?",Angels,42,2,13,42002013,"And suddenly there was with the angel a multitude of the heavenly host praising God and saying,"
When Samuel was called by the Lord as a child who did he think was calling?,Eli the priest,9,3,6,9003006,"And the LORD called again, ""Samuel!"" and Samuel arose and went to Eli and said, ""Here I am, for you called me."" But he said, ""I did not call, my son; lie down again."""
"To whom did Jesus say ""Truly truly I say to you unless one is born again he cannot see the kingdom of God""?",Nicodemus,43,3,3,43003003,"Jesus answered him, ""Truly, truly, I say to you, unless one is born again he cannot see the kingdom of God."""
Who does Paul say is head of the woman?,Man,46,11,3,46011003,"But I want you to understand that the head of every man is Christ, the head of a wife is her husband, and the head of Christ is God."
Who sang a song celebrating the downfall of Sisera?,Deborah & Barak,7,5,1,7005001,Then sang Deborah and Barak the son of Abinoam on that day:
"What happens to ""treasure laid up on earth""?",Becomes corrupted and thieves steal it ,40,6,19,40006019,"""Do not lay up for yourselves treasures on earth, where moth and rust destroy and where thieves break in and steal,"
Whose mother was instructed to drink no wine or strong drink during her pregnancy?,Samson's,7,13,7,7013007,"but he said to me, 'Behold, you shall conceive and bear a son. So then drink no wine or strong drink, and eat nothing unclean, for the child shall be a Nazirite to God from the womb to the day of his death.'"""
Who was the successor to Moses?,Joshua,6,1,1,6001001,"After the death of Moses the servant of the LORD, the LORD said to Joshua the son of Nun, Moses' assistant,"
"What should you not ""throw before swine""?",Pearls,40,7,6,40007006,"""Do not give dogs what is holy, and do not throw your pearls before pigs, lest they trample them underfoot and turn to attack you."
"In the letter to the Corinthians who does Paul say is a ""new creature""?",Any man in Christ,47,5,17,47005017,"Therefore, if anyone is in Christ, he is a new creation. The old has passed away; behold, the new has come."
Which prophet is recorded as having an earnest prayer for no rain answered?,Elijah,59,5,17,59005017,"Elijah was a man with a nature like ours, and he prayed fervently that it might not rain, and for three years and six months it did not rain on the earth."
According to Thessalonians what will happen to the believers alive at the return of Christ?,They will be caught up together in the clouds,52,4,17,52004017,"Then we who are alive, who are left, will be caught up together with them in the clouds to meet the Lord in the air, and so we will always be with the Lord."
How did the Philistines discover the answer to Samson's riddle?,They threatened Samson's bride who told them,7,14,15,7014015,"On the fourth day they said to Samson's wife, ""Entice your husband to tell us what the riddle is, lest we burn you and your father's house with fire. Have you invited us here to impoverish us?"""
What was the reason that Jacob and his family began a new life in Egypt?,Famine in Canaan,1,47,4,1047004,"They said to Pharaoh, ""We have come to sojourn in the land, for there is no pasture for your servants' flocks, for the famine is severe in the land of Canaan. And now, please let your servants dwell in the land of Goshen."""
How was Isaac's wife chosen?,His father sent a servant back to Mesopotamia to choose a wife from his own family,1,24,7,1024007,"The LORD, the God of heaven, who took me from my father's house and from the land of my kindred, and who spoke to me and swore to me, 'To your offspring I will give this land,' he will send his angel before you, and you shall take a wife for my son from there."
What was the name of Solomon's son who succeeded him as king?,Rehoboam,11,11,43,11011043,And Solomon slept with his fathers and was buried in the city of David his father. And Rehoboam his son reigned in his place.
How did the people listening to the Sermon on the Mount view Jesus' teachings?,He taught as one with authority,40,7,29,40007029,"for he was teaching them as one who had authority, and not as their scribes."
What does faith require to make it a living faith?,Works,59,2,17,59002017,"So also faith by itself, if it does not have works, is dead."
What did Jesus say you should do if someone asks you to go with them for a mile?,Go with them for two miles,40,5,41,40005041,"And if anyone forces you to go one mile, go with him two miles."
In the parable of the grain of mustard seed when it becomes a tree birds come and do what?,Build nests,40,13,32,40013032,"It is the smallest of all seeds, but when it has grown it is larger than all the garden plants and becomes a tree, so that the birds of the air come and make nests in its branches."""
The field that Judas Iscariot purchased with his betrayal money was called Aceldama but as what was it also known?,Field of Blood,44,1,19,44001019,"And it became known to all the inhabitants of Jerusalem, so that the field was called in their own language Akeldama, that is, Field of Blood.)"
Who did Jesus raise from the dead by a prayer of thanks to God?,Lazarus,43,11,41,43011041,"So they took away the stone. And Jesus lifted up his eyes and said, ""Father, I thank you that you have heard me."
"The king's wrath is as ""the roaring"" of what?",A lion,20,19,12,20019012,"A king's wrath is like the growling of a lion, but his favor is like dew on the grass."
What was the name of Ruth's son?,Obed,8,4,17,8004017,"And the women of the neighborhood gave him a name, saying, ""A son has been born to Naomi."" They named him Obed. He was the father of Jesse, the father of David."
According to James what happens if you break one commandment of the law?,You are guilty of breaking the whole law,59,2,10,59002010,For whoever keeps the whole law but fails in one point has become accountable for all of it.
"""… thou sluggard!"". What animal should we take lessons from?",Ant,20,6,6,20006006,"Go to the ant, O sluggard; consider her ways, and be wise."
How did the wise men know that the King of the Jews had been born?,They saw a star in the East,40,2,2,40002002,"saying, ""Where is he who has been born king of the Jews? For we saw his star when it rose and have come to worship him."""
What test did Elijah set the prophets of Baal which failed proving their god to be false?,Lighting a fire under the sacrifice on the altar,11,18,24,11018024,"And you call upon the name of your god, and I will call upon the name of the LORD, and the God who answers by fire, he is God."" And all the people answered, ""It is well spoken."""
What is Jesus' final commission to his disciples?,Teach all nations baptizing them,40,28,19,40028019,"Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,"
The Lord said that Jacob and Esau were two what in the womb?,Nations,1,25,23,1025023,"And the LORD said to her, ""Two nations are in your womb, and two peoples from within you shall be divided; the one shall be stronger than the other, the older shall serve the younger."""
"What happens to the man who ""puts his hand to the plough and looks back""?",He is not fit for the Kingdom of God,42,9,62,42009062,"Jesus said to him, ""No one who puts his hand to the plow and looks back is fit for the kingdom of God."""
What did Samson do to the Philistines' crops after discovering his bride had been given to someone else?,Burned them,7,15,5,7015005,"And when he had set fire to the torches, he let the foxes go into the standing grain of the Philistines and set fire to the stacked grain and the standing grain, as well as the olive orchards."
Who was Jesus talking to when he taught the Lord's Prayer?,Disciples,40,5,1,40005001,"Seeing the crowds, he went up on the mountain, and when he sat down, his disciples came to him."
To the beauty of which plant did Jesus compare to King Solomon?,Lilies,42,12,27,42012027,"Consider the lilies, how they grow:they neither toil nor spin, yet I tell you, even Solomon in all his glory was not arrayed like one of these."
What was on top of the Ark of the Covenant?,The mercy seat and two cherubim,2,25,22,2025022,"There I will meet with you, and from above the mercy seat, from between the two cherubim that are on the ark of the testimony, I will speak with you about all that I will give you in commandment for the people of Israel."
Who came to see Jesus by night?,Nicodemus,43,19,39,43019039,"Nicodemus also, who earlier had come to Jesus by night, came bringing a mixture of myrrh and aloes, about seventy-five pounds in weight."
For how long was the dragon bound in the bottomless pit?,1000 years,66,20,2,66020002,"And he seized the dragon, that ancient serpent, who is the devil and Satan, and bound him for a thousand years,"
Who did Abram marry?,Sarai,1,11,29,1011029,"And Abram and Nahor took wives. The name of Abram's wife was Sarai, and the name of Nahor's wife, Milcah, the daughter of Haran the father of Milcah and Iscah."
What did Jesus say he would leave with the disciples?,Peace,43,14,27,43014027,"Peace I leave with you; my peace I give to you. Not as the world gives do I give to you. Let not your hearts be troubled, neither let them be afraid."
What did Paul ask Philemon to have ready for him?,A room,57,1,22,57001022,"At the same time, prepare a guest room for me, for I am hoping that through your prayers I will be graciously given to you."
In Egypt what did Joseph accuse his brothers of at their first meeting?,Being spies,1,42,9,1042009,"And Joseph remembered the dreams that he had dreamed of them. And he said to them, ""You are spies; you have come to see the nakedness of the land."""
Where did Jesus first see Nathanael?,Under the fig tree,43,1,48,43001048,"Nathanael said to him, ""How do you know me?"" Jesus answered him, ""Before Philip called you, when you were under the fig tree, I saw you."""
Which disciple was a tax collector?,Matthew,42,5,27,42005027,"After this he went out and saw a tax collector named Levi, sitting at the tax booth. And he said to him, ""Follow me."""
What horrific act did the women do to their children during the Babylonian siege of Jerusalem?,Boiled and ate them,25,4,10,25004010,The hands of compassionate women have boiled their own children; they became their food during the destruction of the daughter of my people.
When the Pharisees asked Jesus whether it was lawful to pay taxes to Caesar what object did he use to answer their question?,A penny,40,22,19,40022019,"Show me the coin for the tax."" And they brought him a denarius."
When Philip and the Ethiopian eunuch arrive at some water what does the eunuch say?,What is there to stop me getting baptized?,44,8,36,44008036,"And as they were going along the road they came to some water, and the eunuch said, ""See, here is water! What prevents me from being baptized?"""
"Who said to Mary ""Blessed are you among women and blessed is the fruit of your womb!""?",Elisabeth,42,1,41,42001041,"And when Elizabeth heard the greeting of Mary, the baby leaped in her womb. And Elizabeth was filled with the Holy Spirit,"
What type of tree did Zacchaeus climb to see Jesus?,Sycamore,42,19,4,42019004,"So he ran on ahead and climbed up into a sycamore tree to see him, for he was about to pass that way."
When Jesus forgave the sins of the sick man let down through the roof to him to what did the Pharisees object?,They thought only God could forgive sins ,41,2,7,41002007,"""Why does this man speak like that? He is blaspheming! Who can forgive sins but God alone?"""
What was the name of Abraham's nephew?,Lot,1,12,5,1012005,"And Abram took Sarai his wife, and Lot his brother's son, and all their possessions that they had gathered, and the people that they had acquired in Haran, and they set out to go to the land of Canaan. When they came to the land of Canaan,"
Which tribe followed David after the split of the Kingdom of Israel?,Judah,11,12,20,11012020,"And when all Israel heard that Jeroboam had returned, they sent and called him to the assembly and made him king over all Israel. There was none that followed the house of David but the tribe of Judah only."
What did James' and John's mother ask of Jesus?,For her sons to sit on Jesus' right and left hands in the kingdom,40,20,21,40020021,"And he said to her, ""What do you want?"" She said to him, ""Say that these two sons of mine are to sit, one at your right hand and one at your left, in your kingdom."""
What did the dove bring back to Noah?,Olive leaf,1,8,11,1008011,"And the dove came back to him in the evening, and behold, in her mouth was a freshly plucked olive leaf. So Noah knew that the waters had subsided from the earth."
Who was appointed to replace Judas Iscariot as a disciple?,Matthias,44,1,26,44001026,"And they cast lots for them, and the lot fell on Matthias, and he was numbered with the eleven apostles."
What did Abraham's son carry for his sacrifice?,The wood,1,22,6,1022006,And Abraham took the wood of the burnt offering and laid it on Isaac his son. And he took in his hand the fire and the knife. So they went both of them together.
What did Elisha do for the Shunammite's son?,Raised him back to life,12,4,34,12004034,"Then he went up and lay on the child, putting his mouth on his mouth, his eyes on his eyes, and his hands on his hands. And as he stretched himself upon him, the flesh of the child became warm."
What were the names of Elimelech's two sons?,Mahlon & Chilion,8,1,2,8001002,"The name of the man was Elimelech and the name of his wife Naomi, and the names of his two sons were Mahlon and Chilion. They were Ephrathites from Bethlehem in Judah. They went into the country of Moab and remained there."
Until when did Jesus remain in Egypt with his parents when he was a baby?,Until the death of Herod the Great ,40,2,15,40002015,"and remained there until the death of Herod. This was to fulfill what the Lord had spoken by the prophet, ""Out of Egypt I called my son."""
In the parable of the sower what does the seed represent?,Word of God,42,8,11,42008011,Now the parable is this:The seed is the word of God.
What was the first plague the Lord sent upon Egypt?,Water turned into blood,2,7,21,2007021,"And the fish in the Nile died, and the Nile stank, so that the Egyptians could not drink water from the Nile. There was blood throughout all the land of Egypt."
What did the disciples do when people brought their young children to Jesus?,They rebuked them,40,19,13,40019013,"Then children were brought to him that he might lay his hands on them and pray. The disciples rebuked the people,"
Who does Jesus say are the two most important people to love?,God and your neighbor,42,10,27,42010027,"And he answered, ""You shall love the Lord your God with all your heart and with all your soul and with all your strength and with all your mind, and your neighbor as yourself."""
What happened to Jesus on the 8th day of his life?,He was circumcised,42,2,21,42002021,"And at the end of eight days, when he was circumcised, he was called Jesus, the name given by the angel before he was conceived in the womb."
Who looked after the coats of the men who stoned Stephen?,Saul,44,7,58,44007058,Then they cast him out of the city and stoned him. And the witnesses laid down their garments at the feet of a young man named Saul.
What profession did Zebedee father of James and John have?,Fisherman,40,4,21,40004021,"And going on from there he saw two other brothers, James the son of Zebedee and John his brother, in the boat with Zebedee their father, mending their nets, and he called them."
Which two sisters married Jacob?,Rachel and Leah,1,29,28,1029028,"Jacob did so, and completed her week. Then Laban gave him his daughter Rachel to be his wife."
Into which land did God send Abraham to sacrifice his special son Isaac?,Moriah,1,22,2,1022002,"He said, ""Take your son, your only son Isaac, whom you love, and go to the land of Moriah, and offer him there as a burnt offering on one of the mountains of which I shall tell you."""
In Revelation what was the wife of the Lamb arrayed in?,Fine white linen,66,19,8,66019008,"it was granted her to clothe herself with fine linen, bright and pure""--for the fine linen is the righteous deeds of the saints."
When Peter was asked if Jesus paid temple taxes what animal concealed a coin with which to pay the taxes?,Fish,40,17,27,40017027,"However, not to give offense to them, go to the sea and cast a hook and take the first fish that comes up, and when you open its mouth you will find a shekel. Take that and give it to them for me and for yourself."""
What did God initially give man to eat?,Plants and Fruit,1,2,16,1002016,"And the LORD God commanded the man, saying, ""You may surely eat of every tree of the garden,"
Which city did David pray for the peace of?,Jerusalem,19,122,6,19122006,"Pray for the peace of Jerusalem! ""May they be secure who love you!"
What did the crew of the ship Jonah was on do once the storm had ceased?,They made sacrifices to God,32,1,16,32001016,"Then the men feared the LORD exceedingly, and they offered a sacrifice to the LORD and made vows."
How many people were saved in the ark?,Eight,60,3,20,60003020,"because they formerly did not obey, when God's patience waited in the days of Noah, while the ark was being prepared, in which a few, that is, eight persons, were brought safely through water."
What disease did the Lord send upon Miriam?,Leprosy,4,12,10,4012010,"When the cloud removed from over the tent, behold, Miriam was leprous, like snow. And Aaron turned toward Miriam, and behold, she was leprous."
Who was afflicted with leprosy for speaking out against Moses?,Miriam,4,12,10,4012010,"When the cloud removed from over the tent, behold, Miriam was leprous, like snow. And Aaron turned toward Miriam, and behold, she was leprous."
The name of the Lord is like what place of safety?,A strong tower,20,18,10,20018010,The name of the LORD is a strong tower; the righteous man runs into it and is safe.
With what was Jesus' side pierced?,Spear,43,19,34,43019034,"But one of the soldiers pierced his side with a spear, and at once there came out blood and water."
What did Jesus say when the Pharisees asked why he ate with publicans and sinners?,They that be whole need not a physician but they that are sick. ,40,9,12,40009012,"But when he heard it, he said, ""Those who are well have no need of a physician, but those who are sick."
How did Moses command the Red Sea to divide so the Israelites could cross over?,He lifted up his rod and stretched his hand over the sea,2,14,21,2014021,"Then Moses stretched out his hand over the sea, and the LORD drove the sea back by a strong east wind all night and made the sea dry land, and the waters were divided."
Where was Jonah when he prayed to God with the voice of thanksgiving?,In the fish's belly,32,2,9,32002009,"But I with the voice of thanksgiving will sacrifice to you; what I have vowed I will pay. Salvation belongs to the LORD!"""
What was Noah's ark made out of?,Gopher wood,1,6,14,1006014,"Make yourself an ark of gopher wood. Make rooms in the ark, and cover it inside and out with pitch."
Who brought Elijah bread and meat to eat during the drought?,Ravens,11,17,4,11017004,"You shall drink from the brook, and I have commanded the ravens to feed you there."""
Whose mother-in-law did Jesus heal?,(Simon) Peter's,40,8,14,40008014,"And when Jesus entered Peter's house, he saw his mother-in-law lying sick with a fever."
What was Peter's mother-in-law sick with?,A fever,40,8,14,40008014,"And when Jesus entered Peter's house, he saw his mother-in-law lying sick with a fever."
Which bird does Jesus say we have more value than?,Sparrow,40,10,31,40010031,"Fear not, therefore; you are of more value than many sparrows."
In which city was David's throne over Israel?,Jerusalem,10,5,5,10005005,"At Hebron he reigned over Judah seven years and six months, and at Jerusalem he reigned over all Israel and Judah thirty-three years."
How old was Moses when he died?,120,5,34,7,5034007,"Moses was 120 years old when he died. His eye was undimmed, and his vigor unabated."
What event did Peter James and John witness in a mountain with Jesus?,Trans guration,40,17,1,40017001,"And after six days Jesus took with him Peter and James, and John his brother, and led them up a high mountain by themselves."
Which apostle was a Pharisee?,Paul,44,23,6,44023006,"Now when Paul perceived that one part were Sadducees and the other Pharisees, he cried out in the council, ""Brothers, I am a Pharisee, a son of Pharisees. It is with respect to the hope and the resurrection of the dead that I am on trial."""
The desolation of which city is described in Revelation chapter 18?,Babylon,66,18,2,66018002,"And he called out with a mighty voice, ""Fallen, fallen is Babylon the great! She has become a dwelling place for demons, a haunt for every unclean spirit, a haunt for every unclean bird, a haunt for every unclean and detestable beast."
Which king built the first temple in Jerusalem?,Solomon,14,3,1,14003001,"Then Solomon began to build the house of the LORD in Jerusalem on Mount Moriah, where the LORD had appeared to David his father, at the place that David had appointed, on the threshing floor of Ornan the Jebusite."
"Why did Jesus say we should not ""judge people""?",So that we are not judged,40,7,1,40007001,"""Judge not, that you be not judged."
What happened to the prison keeper and his family after finding Paul and Silas released from their chains?,They believed and were baptized,44,16,33,44016033,"And he took them the same hour of the night and washed their wounds; and he was baptized at once, he and all his family."
"How is man ""tempted""?",He is enticed by his own lust,59,1,14,59001014,But each person is tempted when he is lured and enticed by his own desire.
What natural disaster happened when Abram and Sarai arrived in the land of Canaan?,A famine,1,12,10,1012010,"Now there was a famine in the land. So Abram went down to Egypt to sojourn there, for the famine was severe in the land."
What did the shepherds do after they had visited Jesus?,Spread the news about Jesus' birth,42,2,17,42002017,"And when they saw it, they made known the saying that had been told them concerning this child."
Who went back to Jerusalem after the captivity to encourage the people to build the walls of the city again?,Nehemiah,16,2,17,16002017,"Then I said to them, ""You see the trouble we are in, how Jerusalem lies in ruins with its gates burned. Come, let us build the wall of Jerusalem, that we may no longer suffer derision."""
Who was the first of the apostles to perform a miracle in the name of Jesus?,Peter,44,3,6,44003006,"But Peter said, ""I have no silver and gold, but what I do have I give to you. In the name of Jesus Christ of Nazareth, rise up and walk!"""
How did Korah and his family die after seeking priesthood duties beyond those they already had?,They were swallowed up by the earth,4,16,32,4016032,"And the earth opened its mouth and swallowed them up, with their households and all the people who belonged to Korah and all their goods."
What was the name of Isaac's wife?,Rebekah,1,24,67,1024067,"Then Isaac brought her into the tent of Sarah his mother and took Rebekah, and she became his wife, and he loved her. So Isaac was comforted after his mother's death."
In the vision of Jesus in Revelation what came out of Jesus' mouth?,A sharp sword,66,19,15,66019015,"From his mouth comes a sharp sword with which to strike down the nations, and he will rule them with a rod of iron. He will tread the winepress of the fury of the wrath of God the Almighty."
What was Paul's home town?,Tarsus,44,21,39,44021039,"Paul replied, ""I am a Jew, from Tarsus in Cilicia, a citizen of no obscure city. I beg you, permit me to speak to the people."""
Where was Delilah from?,Valley of Sorek,7,16,4,7016004,"After this he loved a woman in the Valley of Sorek, whose name was Delilah."
Where did Delilah live?,Valley of Sorek,7,16,4,7016004,"After this he loved a woman in the Valley of Sorek, whose name was Delilah."
What happened to forty-two of the children who made fun of Elisha's baldness?,Two bears came out of the woods and killed them,12,2,24,12002024,"And he turned around, and when he saw them, he cursed them in the name of the LORD. And two she-bears came out of the woods and tore forty-two of the boys."
What came out of the fire Paul made on Malta and attacked him?,Viper,44,28,3,44028003,"When Paul had gathered a bundle of sticks and put them on the fire, a viper came out because of the heat and fastened on his hand."
Who refused to worship Nebuchadnezzar's golden image?,Shadrach Meshach and Abednego,27,3,12,27003012,"There are certain Jews whom you have appointed over the affairs of the province of Babylon:Shadrach, Meshach, and Abednego. These men, O king, pay no attention to you; they do not serve your gods or worship the golden image that you have set up."""
In the Sermon on the Mount what did Jesus say would happen to the meek?,They will inherit the earth,40,5,5,40005005,"""Blessed are the meek, for they shall inherit the earth."
